study,date,researcher,country,site,religion,subject_id,subject_gender,subject_age,subject_job,subject_schedule,subject_livedhere,subject_lang,subject_marital,subject_hs,subject_liveswith,servicesperweek,specialrole,hurtwfeelings_anger,hurtwthoughts_anger,healtheffectbyproxy_anger,hurtviaspirit_anger,helpwthoughts_caring,helpviaspirit_caring,healtheffectbyproxy_caring,hurtwfeelings_envy,hurtwthoughts_envy,hurtviaspirit_envy,thoughtsharmppldirectly,spiritsusethoughtsharm,childexp_abs,forgetsurrounding_abs,poeticlanguage_abs,starepicture_abs,mindenvelopworld_abs,cloudshapes_abs,vividdaydream_abs,mysticalexp_abs,stepoutsidemyself_abs,textures_abs,doublyreal_abs,caughtupinmusic_abs,heavybody_abs,sensepresence_abs,woodfireimagine_abs,immersednature_abs,colormeaning_abs,wanderthoughtstask_abs,clearpastexp_abs,meaninglesstoothers_abs,actinginplay_abs,visualthoughts_abs,delightsmallthings_abs,organmusic_abs,changenoise_abs,vividsmellmemories_abs,synesthesiasound_abs,predictwords_abs,physicalmemories_abs,fascinatingvoice_abs,invisiblepresence_abs,sponthoughtsimages_abs,synesthesiasmell_abs,emosunset_abs,godviapeople,godviascript,godviamind,godvoxaloud,godcommpics,godviavisions,godviadreams,godguideviaknowing,godguideviasensations,godviabodyexperiences,godsenseplaceinbody,godviatouch,godviasmell,neartangiblegod,presencenotgod,presencedemon,beingentbody,seehearnotgod,whitelight,trmblshakespirtpwr,rushofspiritpwr,intenseemospiritpwr,timeslowpray,mindspiritexitbody,humanshapeshift,spiritbeingencounter,sleepparalysis,voxwhenalone,seethingscornereye
study 1,2017-04-01,Rsmith,Vanuatu,urban,charismatic,99001,Male,35,Bus Driver,"Everyday, Irregular",35y,"Tongoa, Two Languages",Maret finis (Married),Yes,"man o woman blong yu (Spouse),sam pikinini (Multiple children)",3,1,2,0,2,2,0,0,2,2,0,2,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,NA,1,0,1,1,0,1,1,1,1,0
study 1,2017-03-01,Rsmith,Vanuatu,urban,local,99002,Male,27,"Vmf, Band",Normal/shifts,Full Life,Namakura,Singel (Single),Yes,yu wan (Lives alone),Sunday,0,1,1,1,1,0,NA,NA,2,NA,2,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,NA,0,0,0,0,1,1,0,NA,0,0,0,1,1,1,1,1,0,0,0,0,0,0.5,1,1,0,0
study 1,2017-02-20,Jdulin,Ghana,urban,charismatic,99003,Female,21,Teacher Trainee At Ola College Of Educat,40,3 Years,Ewe,Single,Yes,Friends/roommates,3,1,1,2,0,2,2,2,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1
study 1,2017-08-21,VDzokoto,Ghana,rural,charismatic,99004,Male,52,"Mason, Bar Owner, Football Coach, Former Local Assembly Man, Help Wife Out In Farm Occasionally",Varies,14 Years,"Fante, English",Married Ana aware,Yes Nyew,Spouse Menye me kum/yer,2,1,2,1,3,1,3,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
study 1,2017-02-17,Jdulin,Ghana,urban,charismatic,99005,Female,37,Journalist,45,18,fante,Married,Yes,"Spouse,Child",3,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
study 1,2017-08-23,VDzokoto,Ghana,rural,charismatic,99006,Male,40,Electrician,8 To 6 Or 10 4-7 Days A Week,5 Years,"Twi, Fante",Engaged WÉ” agye wo aware,Yes Nyew,Siblings Enuanom,"Less Than Once. Week, Irregular Attendance",0,3,3,3,3,0,3,2,1,2,2,3,2,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
study 1,2017-08-16,VDzokoto,Ghana,rural,local,99007,Male,45,Fisherman,10 Hours,20years,Fante,Married Ana aware,No Oho/ dabi,Spouse Menye me kum/yer,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1
study 1,2017-04-26,JBrahinsky,US,rural,local,99008,Male,23,Student- Music,NA,23,Eng,Single,Yes,"Mother,Father",43102,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
study 1,2017-03-07,Jdulin,Ghana,urban,charismatic,99009,Male,26,Student,50,16,Fante,Single,Yes,Friends/roommates,4,1,3,1,1,1,2,2,1,2,2,2,1,1,1,0,0,0,NA,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
study 1,2017-09-09,Rsmith,Vanuatu,rural,charismatic,99010,Male,45,"Gardener, Builder",NA,Life,"Euta, Namakura, Nakanaman",Maret finis (Married),No,"man o woman blong yu (Spouse),sam pikinini (Multiple children),i bitim 5 (Lives with over 5 people)",Everyday,1,1,0,2,2,NA,2,3,1,NA,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0.5,0,1,1,NA
